date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:30	11595/11595	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:32:27%20GMT	http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De3%26wr_id%3D1%26page%3D1	C:/momsis_WebProject/momsis/www.momsis.co.kr/bbs/login1fc7.html	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e3&wr_id=1&page=1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.45b.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e1&wr_id=11&page=1)
21:32:30	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.45c.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e1&wr_id=11&page=1)
21:32:31	11597/11597	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:32:27%20GMT	http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D12%26page%3D1	C:/momsis_WebProject/momsis/www.momsis.co.kr/bbs/logince57.html	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e1&wr_id=12&page=1)
21:32:31	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.45e.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e1&wr_id=10&page=1)
21:32:31	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.45f.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e1&wr_id=10&page=1)
21:32:31	11597/11597	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:32:28%20GMT	http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D11%26page%3D1	C:/momsis_WebProject/momsis/www.momsis.co.kr/bbs/loginb201.html	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e1&wr_id=11&page=1)
21:32:31	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.461.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e1&wr_id=9&page=1)
21:32:31	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.462.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e1&wr_id=9&page=1)
21:32:31	11597/11597	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2012:32:28%20GMT	http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D10%26page%3D1	C:/momsis_WebProject/momsis/www.momsis.co.kr/bbs/login2fea.html	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e1&wr_id=10&page=1)
21:32:31	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.464.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e1&wr_id=8&page=1)
21:32:31	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.465.delayed	(from http://www.momsis.co.kr/bbs/board.php?bo_table=e1&wr_id=8&page=1)
21:32:31	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.466.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D8%26sfl%3D%26stx%3D%26sst%3Dwr_hit%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:31	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.467.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D8%26sfl%3D%26stx%3D%26sst%3Dwr_hit%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:31	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.468.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D9%26sfl%3D%26stx%3D%26sst%3Dwr_hit%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:31	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.469.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D9%26sfl%3D%26stx%3D%26sst%3Dwr_hit%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:31	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.46a.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D10%26sfl%3D%26stx%3D%26sst%3Dwr_hit%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:31	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.46b.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D10%26sfl%3D%26stx%3D%26sst%3Dwr_hit%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:32	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/title2/l_head_back.gif	C:/momsis_WebProject/momsis/www.momsis.co.kr/title2/l_head_back.46c.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D11%26sfl%3D%26stx%3D%26sst%3Dwr_hit%26sod%3Dasc%26sop%3Dand%26page%3D1)
21:32:32	0/-1	---M--	302	error ('')			http://www.momsis.co.kr/js/shop.js	C:/momsis_WebProject/momsis/www.momsis.co.kr/js/shop.46d.delayed	(from http://www.momsis.co.kr/bbs/login.php?url=%2Fbbs%2Fboard.php%3Fbo_table%3De1%26wr_id%3D11%26sfl%3D%26stx%3D%26sst%3Dwr_hit%26sod%3Dasc%26sop%3Dand%26page%3D1)
